bathrooms,bedrooms,city,country,homeStatus,homeType,isFeatured,isNonOwnerOccupied,isPreforeclosureAuction,isPremierBuilder,isZillowOwned,latitude,longitude,livingArea,price,zestimate,rentZestimate,streetAddress,zipcode
5.0,4.0,Raleigh,USA,FOR_SALE,SINGLE_FAMILY,False,True,False,False,False,35.80474,-78.6825,4305.0,1985000.0,1987100.0,2687.0,3406 Bradley Pl,27607
4.0,3.0,Raleigh,USA,FOR_SALE,SINGLE_FAMILY,False,True,False,False,False,35.66252,-78.66711,3317.0,649900.0,649900.0,3317.0,8533 Hurst Dr,27603
3.0,3.0,Raleigh,USA,FOR_SALE,SINGLE_FAMILY,False,True,False,False,False,35.793076,-78.731575,1915.0,525000.0,528200.0,2182.0,6324 Nowell Pointe Dr,27607
3.0,4.0,Raleigh,USA,FOR_SALE,SINGLE_FAMILY,False,True,False,False,False,35.81536,-78.64174,2721.0,925000.0,932600.0,4059.0,2516 Anderson Dr,27608
3.0,4.0,Raleigh,USA,FOR_SALE,SINGLE_FAMILY,False,True,False,False,False,35.86711,-78.64838,1935.0,550000.0,551100.0,2106.0,6120 Bellow St,27609
3.0,4.0,Raleigh,USA,FOR_SALE,SINGLE_FAMILY,False,True,False,False,False,35.8967,-78.602936,2750.0,620000.0,622700.0,2800.0,8805 Colesbury Dr,27615
2.0,2.0,Raleigh,USA,FOR_SALE,CONDO,False,True,False,False,False,35.78257,-78.71935,977.0,234000.0,234000.0,977.0,4808 Blue Bird Ct APT D,27606
2.0,3.0,Raleigh,USA,FOR_SALE,SINGLE_FAMILY,False,True,False,False,False,35.92771,-78.74801,1414.0,399900.0,402900.0,1899.0,12109 Queensbridge Ct,27613
2.0,3.0,Raleigh,USA,FOR_SALE,SINGLE_FAMILY,False,True,False,False,False,35.778255,-78.54309,1857.0,375000.0,375600.0,2010.0,5309 Robbins Dr,27610
2.0,3.0,Raleigh,USA,FOR_SALE,SINGLE_FAMILY,False,True,False,False,False,35.84013,-78.6989,2273.0,650000.0,655700.0,2999.0,4218 Arbutus Dr,27612
2.0,3.0,Raleigh,USA,FOR_SALE,CONDO,False,True,False,False,False,35.76784,-78.68163,1164.0,549900.0,549900.0,1677.0,2441 Campus Shore Dr #210,27606
2.0,2.0,Raleigh,USA,FOR_SALE,CONDO,False,True,False,False,False,35.767857,-78.68158,1062.0,449900.0,449900.0,1562.0,2441 Campus Shore Dr #212,27606
1.0,1.0,Raleigh,USA,FOR_SALE,CONDO,False,True,False,False,False,35.767834,-78.68154,748.0,349900.0,342600.0,1480.0,2441 Campus Shore Dr #413,27606
2.0,4.0,Raleigh,USA,FOR_SALE,SINGLE_FAMILY,False,True,False,False,False,35.772663,-78.60946,1368.0,450000.0,450000.0,1900.0,2216 Shannon St,27610
6.0,4.0,Greensboro,USA,FOR_SALE,SINGLE_FAMILY,False,True,False,False,False,36.15953,-79.81819,0.0,799000.0,799000.0,0.0,1417 Bethany Dr,27455
2.0,2.0,Greensboro,USA,FOR_SALE,TOWNHOUSE,False,True,False,False,False,36.043495,-79.891975,0.0,309900.0,309900.0,0.0,5104 Eagle Perch Way,27407
1.0,2.0,Greensboro,USA,FOR_SALE,SINGLE_FAMILY,False,True,False,False,False,36.037415,-79.872925,0.0,142000.0,142000.0,0.0,4303 Alma St,27407
2.0,3.0,Greensboro,USA,FOR_SALE,SINGLE_FAMILY,False,True,False,False,False,36.086864,-79.87565,0.0,419000.0,420600.0,1999.0,704 Lipscomb Rd,27410
2.0,3.0,Greensboro,USA,FOR_SALE,TOWNHOUSE,False,True,False,False,False,36.131294,-79.733055,1320.0,179000.0,178100.0,1640.0,3011 Desmond Woods Dr,27405
4.0,4.0,Greensboro,USA,FOR_SALE,SINGLE_FAMILY,False,True,False,False,False,36.075844,-79.83548,0.0,554400.0,557400.0,2562.0,103 E Avondale Dr,27403
3.0,3.0,Greensboro,USA,FOR_SALE,SINGLE_FAMILY,False,True,False,False,False,36.115826,-79.76005,0.0,225000.0,225000.0,0.0,3200 Sandburg Dr,27405
2.0,2.0,Greensboro,USA,FOR_SALE,CONDO,False,True,False,False,False,36.10716,-79.78724,0.0,275000.0,274400.0,1485.0,12 E Fountain Manor Dr,27405
2.0,3.0,Greensboro,USA,FOR_SALE,SINGLE_FAMILY,False,True,False,False,False,36.071053,-79.739586,0.0,214000.0,213800.0,1498.0,3912 Holts Chapel Rd,27401
0.0,0.0,Greensboro,USA,FOR_SALE,SINGLE_FAMILY,False,True,False,False,False,35.981487,-79.83322,0.0,32900.0,148400.0,1500.0,5100 Old Randleman Rd,27406
0.0,0.0,Greensboro,USA,FOR_SALE,SINGLE_FAMILY,False,True,False,False,False,35.98116,-79.89631,0.0,30500.0,30500.0,0.0,5201 Overlea Dr #118,27407
2.0,3.0,Greensboro,USA,FOR_SALE,SINGLE_FAMILY,False,True,False,False,False,36.06294,-79.776695,0.0,210000.0,209600.0,1494.0,1015 John Dimrey Dr,27406
2.0,3.0,Greensboro,USA,FOR_SALE,SINGLE_FAMILY,False,True,False,False,False,36.04042,-79.80749,0.0,160000.0,160500.0,1550.0,2402 Atlanta St,27406
1.0,2.0,Greensboro,USA,FOR_SALE,SINGLE_FAMILY,False,True,False,False,False,36.03798,-79.87197,0.0,169000.0,168500.0,950.0,2209 Poinsettia Rd,27407
1.0,2.0,Greensboro,USA,FOR_SALE,SINGLE_FAMILY,False,True,False,False,False,36.114357,-79.8206,0.0,229900.0,230700.0,1281.0,3314 Wilshire Dr,27408
2.0,2.0,Greensboro,USA,FOR_SALE,CONDO,False,True,False,False,False,36.142815,-79.832924,0.0,140000.0,139700.0,1250.0,5000 Lawndale Dr UNIT J,27455
2.0,3.0,Greensboro,USA,FOR_SALE,SINGLE_FAMILY,False,True,False,False,False,36.134438,-79.77862,0.0,239999.0,239999.0,0.0,2826 Leo Dr,27405
2.0,3.0,Greensboro,USA,FOR_SALE,SINGLE_FAMILY,False,True,False,False,False,36.187817,-79.696396,0.0,329500.0,328900.0,1833.0,5028 Shorthorn Way,27405
3.0,3.0,Greensboro,USA,FOR_SALE,SINGLE_FAMILY,False,True,False,False,False,36.015408,-79.74955,0.0,595000.0,598000.0,3592.0,3707 Cleggsmith Rd,27406
2.0,2.0,Greensboro,USA,FOR_SALE,SINGLE_FAMILY,False,True,False,False,False,35.999386,-79.901054,0.0,329990.0,329990.0,0.0,4005 Nairn Dr,27407
3.0,3.0,Greensboro,USA,FOR_SALE,SINGLE_FAMILY,False,True,False,False,False,36.008602,-79.79575,0.0,355000.0,355000.0,0.0,113 Webster Rd,27406
5.0,5.0,Greensboro,USA,FOR_SALE,SINGLE_FAMILY,False,True,False,False,False,36.1562,-79.804504,0.0,1175000.0,1084700.0,6513.0,15 Captains Poin,27455
2.0,3.0,Greensboro,USA,FOR_SALE,SINGLE_FAMILY,False,True,False,True,False,36.20609,-79.78674,1858.0,345000.0,341800.0,1900.0,"Callista Plan, Cadence",27455
3.0,3.0,Greensboro,USA,FOR_SALE,SINGLE_FAMILY,False,True,False,True,False,36.186935,-79.69448,2470.0,382900.0,378200.0,2094.0,"The Lenox Plan, Reedy Fork - Middleton",27405
2.0,2.0,Greensboro,USA,FOR_SALE,CONDO,False,True,False,False,False,36.088573,-79.78976,1400.0,160000.0,170300.0,1462.0,1101 N Elm St UNIT 502,27401
3.0,3.0,Greensboro,USA,FOR_SALE,SINGLE_FAMILY,False,True,False,True,False,36.12962,-79.75016,1847.0,299990.0,299300.0,1834.0,"Vermont Plan, The Wilcox",27405
2.0,3.0,Greensboro,USA,FOR_SALE,SINGLE_FAMILY,False,True,False,False,False,36.060272,-79.80595,0.0,199500.0,199700.0,1366.0,907 Gregory St,27403
2.0,3.0,Greensboro,USA,FOR_SALE,SINGLE_FAMILY,False,True,False,False,False,36.07218,-79.84488,0.0,290000.0,291900.0,1714.0,105 Manor Ct,27403
6.0,4.0,Greensboro,USA,FOR_SALE,SINGLE_FAMILY,False,True,False,False,False,36.105118,-79.794624,0.0,899000.0,901500.0,5866.0,2201 Granville Rd,27408
2.0,4.0,Greensboro,USA,FOR_SALE,SINGLE_FAMILY,False,True,False,False,False,36.076538,-79.886734,0.0,275000.0,274500.0,1881.0,118 Village Ln,27409
4.0,5.0,Greensboro,USA,FOR_SALE,SINGLE_FAMILY,False,True,False,False,False,36.115387,-79.85339,0.0,425000.0,426000.0,2438.0,3506 Spicebush Trl,27410
3.0,2.0,Greensboro,USA,FOR_SALE,TOWNHOUSE,False,True,False,False,False,36.133373,-79.80281,0.0,184999.0,184999.0,0.0,4101 Baylor St,27455
4.0,5.0,Greensboro,USA,FOR_SALE,SINGLE_FAMILY,False,True,False,False,False,36.12781,-79.88116,0.0,529900.0,529900.0,0.0,3502 Shaker Dr,27410
2.0,3.0,Greensboro,USA,FOR_SALE,SINGLE_FAMILY,False,True,False,False,False,35.979767,-79.709915,0.0,344900.0,344000.0,2495.0,5119 Edinborough Rd,27406
2.0,3.0,Greensboro,USA,FOR_SALE,SINGLE_FAMILY,False,True,False,False,False,35.993343,-79.80554,0.0,230000.0,230700.0,1484.0,4606 Meadowcroft Rd,27406
2.0,3.0,Greensboro,USA,FOR_SALE,TOWNHOUSE,False,True,False,False,False,36.176693,-79.68937,0.0,280000.0,279200.0,1819.0,3 Rocking Ct,27405
2.0,3.0,Greensboro,USA,FOR_SALE,SINGLE_FAMILY,False,True,False,False,False,36.141476,-79.7193,0.0,315000.0,314200.0,1919.0,1947 Rubywood St,27405
3.0,3.0,Greensboro,USA,FOR_SALE,TOWNHOUSE,False,True,False,False,False,36.1358,-79.802605,0.0,324500.0,324500.0,0.0,2 Naima Ln #22,27455
3.0,3.0,Greensboro,USA,FOR_SALE,TOWNHOUSE,False,True,False,False,False,36.163635,-79.81343,0.0,393550.0,391000.0,2191.0,5020 Moonlight Ridge Dr,27455
3.0,3.0,Greensboro,USA,FOR_SALE,TOWNHOUSE,False,True,False,False,False,36.163563,-79.81355,0.0,391975.0,389500.0,2194.0,5014 Moonlight Ridge Dr,27455
3.0,3.0,Greensboro,USA,FOR_SALE,TOWNHOUSE,False,True,False,False,False,36.163418,-79.813255,0.0,392250.0,389800.0,2194.0,5010 Moonlight Ridge Dr,27455
2.0,3.0,Charlotte,USA,FOR_SALE,SINGLE_FAMILY,False,True,False,False,False,35.278755,-80.96438,1340.0,350000.0,350000.0,1798.0,9623 Old Moores Chapel Rd,28214
3.0,4.0,Charlotte,USA,FOR_SALE,SINGLE_FAMILY,False,True,False,False,False,35.379917,-80.79094,3192.0,404900.0,418600.0,2475.0,12621 Dervish Ln,28269
2.0,5.0,Charlotte,USA,FOR_SALE,SINGLE_FAMILY,False,True,False,False,False,35.17155,-80.74169,1900.0,450000.0,331800.0,2225.0,2200 Laura Dr,28212
4.0,5.0,Charlotte,USA,FOR_SALE,SINGLE_FAMILY,False,True,False,False,False,35.14966,-80.79359,3311.0,1150000.0,1082200.0,5212.0,6331 Creola Rd,28226
3.0,3.0,Charlotte,USA,FOR_SALE,TOWNHOUSE,False,True,False,False,False,35.108246,-80.97967,1383.0,274999.0,272700.0,1860.0,13539 Tranters Creek Ln,28273
3.0,4.0,Charlotte,USA,FOR_SALE,SINGLE_FAMILY,False,True,False,False,False,35.07073,-81.00912,3092.0,572000.0,508300.0,2710.0,16163 Flame Azalea Ct,28278
